Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,31/03/2020,17:45:00,72390.00,72455.00,71880.00,71950.00,1060302310.00,73499
WINJ20,31/03/2020,17:30:00,72460.00,72540.00,72255.00,72385.00,1504846280.00,103928
WINJ20,31/03/2020,17:15:00,72200.00,72560.00,72200.00,72465.00,1733339750.00,119701
WINJ20,31/03/2020,17:00:00,72900.00,72980.00,72200.00,72200.00,2906501861.00,199747
WINJ20,31/03/2020,16:45:00,72895.00,73105.00,72595.00,72900.00,5052928649.00,346585
WINJ20,31/03/2020,16:30:00,72575.00,72985.00,72525.00,72890.00,4603658017.00,316269
WINJ20,31/03/2020,16:15:00,73690.00,73765.00,72190.00,72580.00,6980275954.00,478969
WINJ20,31/03/2020,16:00:00,74200.00,74320.00,73610.00,73690.00,4139843623.00,279595
WINJ20,31/03/2020,15:45:00,74360.00,74380.00,74065.00,74200.00,3919911596.00,264151
WINJ20,31/03/2020,15:30:00,74205.00,74450.00,74085.00,74360.00,3958249908.00,266369
WINJ20,31/03/2020,15:15:00,74125.00,74220.00,73935.00,74210.00,3666501001.00,247530
WINJ20,31/03/2020,15:00:00,74160.00,74350.00,74040.00,74125.00,3771117439.00,254171
WINJ20,31/03/2020,14:45:00,74110.00,74180.00,73810.00,74155.00,4141248853.00,279807
WINJ20,31/03/2020,14:30:00,74075.00,74310.00,73920.00,74110.00,4410664832.00,297422
WINJ20,31/03/2020,14:15:00,74195.00,74220.00,73905.00,74080.00,3632913860.00,245255
WINJ20,31/03/2020,14:00:00,74160.00,74345.00,73870.00,74195.00,5164762543.00,348420
WINJ20,31/03/2020,13:45:00,74255.00,74495.00,74115.00,74160.00,3766775388.00,253372
WINJ20,31/03/2020,13:30:00,74620.00,74650.00,74100.00,74255.00,4601246069.00,309406
WINJ20,31/03/2020,13:15:00,74965.00,75035.00,74420.00,74620.00,4192567170.00,280556
WINJ20,31/03/2020,13:00:00,75175.00,75230.00,74890.00,74965.00,4168944297.00,277772
WINJ20,31/03/2020,12:45:00,75465.00,75485.00,75135.00,75175.00,3640380190.00,241700
WINJ20,31/03/2020,12:30:00,75340.00,75485.00,75245.00,75470.00,3533075846.00,234383
WINJ20,31/03/2020,12:15:00,75145.00,75365.00,74875.00,75335.00,4959335531.00,330152
WINJ20,31/03/2020,12:00:00,74880.00,75270.00,74610.00,75150.00,5530586098.00,369076
