Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,15/04/2020,14:45:00,79475.00,79565.00,79215.00,79265.00,266827759.90,16800
WINJ20,15/04/2020,14:30:00,79885.00,79885.00,79365.00,79480.00,456121169.70,28657
WINJ20,15/04/2020,14:15:00,79900.00,80120.00,79650.00,79875.00,480841669.10,30101
WINJ20,15/04/2020,14:00:00,79400.00,80035.00,79240.00,79900.00,727355518.70,45670
WINJ20,15/04/2020,13:45:00,79525.00,79600.00,79340.00,79400.00,468256239.90,29450
WINJ20,15/04/2020,13:30:00,79080.00,79600.00,79045.00,79525.00,738506197.80,46540
WINJ20,15/04/2020,13:15:00,78710.00,79150.00,78705.00,79095.00,670593211.90,42463
WINJ20,15/04/2020,13:00:00,78620.00,78725.00,78570.00,78705.00,293964246.30,18687
WINJ20,15/04/2020,12:45:00,78410.00,78780.00,78365.00,78610.00,543053979.00,34535
WINJ20,15/04/2020,12:30:00,78270.00,78440.00,78270.00,78415.00,345654262.10,22053
WINJ20,15/04/2020,12:15:00,78265.00,78335.00,78130.00,78270.00,325238064.80,20786
WINJ20,15/04/2020,12:00:00,78330.00,78400.00,78205.00,78260.00,328837121.90,20999
WINJ20,15/04/2020,11:45:00,78215.00,78430.00,78160.00,78335.00,349467132.20,22313
WINJ20,15/04/2020,11:30:00,78355.00,78450.00,78100.00,78210.00,452997951.70,28934
WINJ20,15/04/2020,11:15:00,78440.00,78465.00,78060.00,78350.00,660501666.70,42199
WINJ20,15/04/2020,11:00:00,78505.00,78585.00,78210.00,78440.00,593204408.80,37840
WINJ20,15/04/2020,10:45:00,78170.00,78620.00,78065.00,78505.00,741103224.90,47285
WINJ20,15/04/2020,10:30:00,78395.00,78600.00,78110.00,78160.00,893448027.20,57003
WINJ20,15/04/2020,10:15:00,77685.00,78430.00,77630.00,78395.00,869125869.90,55660
WINJ20,15/04/2020,10:00:00,78115.00,78235.00,77605.00,77685.00,778210592.60,49934
WINJ20,15/04/2020,09:45:00,78190.00,78220.00,77925.00,78100.00,639863658.50,40984
WINJ20,15/04/2020,09:30:00,78445.00,78510.00,78030.00,78190.00,737116841.90,47122
WINJ20,15/04/2020,09:15:00,78280.00,78800.00,78155.00,78465.00,626090749.20,39956
WINJ20,15/04/2020,09:00:00,78050.00,78415.00,77715.00,78275.00,571364363.40,36562
WINJ20,14/04/2020,17:45:00,80040.00,80300.00,79930.00,80185.00,1072764198.00,66944
WINJ20,14/04/2020,17:30:00,80020.00,80240.00,80010.00,80040.00,1820655046.00,113573
WINJ20,14/04/2020,17:15:00,79915.00,80045.00,79800.00,80020.00,1778786246.00,111339
WINJ20,14/04/2020,17:00:00,80005.00,80025.00,79835.00,79920.00,2419994982.00,151379
WINJ20,14/04/2020,16:45:00,80215.00,80260.00,79850.00,80000.00,6259166049.00,390977
WINJ20,14/04/2020,16:30:00,80300.00,80450.00,80200.00,80215.00,3967040430.00,246949
WINJ20,14/04/2020,16:15:00,80485.00,80600.00,80150.00,80300.00,5719318154.00,355798
WINJ20,14/04/2020,16:00:00,80630.00,80635.00,80335.00,80490.00,3974909116.00,247040
WINJ20,14/04/2020,15:45:00,80395.00,80745.00,80325.00,80635.00,4140989773.00,257035
WINJ20,14/04/2020,15:30:00,80605.00,80635.00,80265.00,80395.00,5100281719.00,317174
WINJ20,14/04/2020,15:15:00,80620.00,80780.00,80540.00,80605.00,3914154364.00,242619
WINJ20,14/04/2020,15:00:00,80600.00,80795.00,80400.00,80625.00,4999130991.00,310147
WINJ20,14/04/2020,14:45:00,80660.00,80835.00,80550.00,80610.00,4289283084.00,265724
WINJ20,14/04/2020,14:30:00,80480.00,80765.00,80470.00,80660.00,4997574676.00,309916
WINJ20,14/04/2020,14:15:00,80540.00,80625.00,80355.00,80485.00,3845326335.00,238850
WINJ20,14/04/2020,14:00:00,80595.00,80670.00,80355.00,80545.00,5944285827.00,369122
WINJ20,14/04/2020,13:45:00,80825.00,80900.00,80570.00,80590.00,5471875168.00,338791
WINJ20,14/04/2020,13:30:00,81275.00,81300.00,80815.00,80825.00,5182321787.00,319791
WINJ20,14/04/2020,13:15:00,81205.00,81480.00,81195.00,81270.00,3679759924.00,226234
WINJ20,14/04/2020,13:00:00,81205.00,81410.00,81180.00,81205.00,3978101110.00,244696
WINJ20,14/04/2020,12:45:00,81465.00,81510.00,81150.00,81200.00,4442829008.00,273069
WINJ20,14/04/2020,12:30:00,81265.00,81615.00,81205.00,81460.00,4852383000.00,297873
WINJ20,14/04/2020,12:15:00,81270.00,81530.00,81200.00,81265.00,5733653523.00,352217
WINJ20,14/04/2020,12:00:00,81265.00,81485.00,81040.00,81275.00,7192576228.00,442671
WINJ20,14/04/2020,11:45:00,81575.00,81640.00,81230.00,81270.00,5262555944.00,323206
WINJ20,14/04/2020,11:30:00,81450.00,81725.00,81300.00,81575.00,6260816497.00,384079
WINJ20,14/04/2020,11:15:00,81415.00,81625.00,81230.00,81445.00,5985789401.00,367522
WINJ20,14/04/2020,11:00:00,81125.00,81465.00,81070.00,81415.00,6587439757.00,405082
WINJ20,14/04/2020,10:45:00,80840.00,81135.00,80650.00,81125.00,6059794052.00,374460
WINJ20,14/04/2020,10:30:00,80590.00,80965.00,80350.00,80840.00,8526657985.00,528264
WINJ20,14/04/2020,10:15:00,80580.00,80865.00,80490.00,80595.00,6064431050.00,375800
WINJ20,14/04/2020,10:00:00,80305.00,80815.00,80020.00,80580.00,9522972968.00,592760
WINJ20,14/04/2020,09:45:00,80240.00,80690.00,80175.00,80310.00,5412733789.00,336391
WINJ20,14/04/2020,09:30:00,80390.00,80780.00,80135.00,80240.00,5885242799.00,365828
WINJ20,14/04/2020,09:15:00,80590.00,80745.00,80235.00,80390.00,4853418157.00,301518
WINJ20,14/04/2020,09:00:00,80290.00,80700.00,80080.00,80590.00,5567592354.00,346231
WINJ20,13/04/2020,17:45:00,79110.00,79345.00,79050.00,79255.00,887551835.10,56058
WINJ20,13/04/2020,17:30:00,78920.00,79220.00,78830.00,79115.00,2193537520.00,138803
WINJ20,13/04/2020,17:15:00,78835.00,78995.00,78745.00,78920.00,2243885354.00,142227
WINJ20,13/04/2020,17:00:00,78815.00,79050.00,78640.00,78835.00,3715311780.00,235553
WINJ20,13/04/2020,16:45:00,78465.00,78920.00,78360.00,78815.00,6770364970.00,430739
WINJ20,13/04/2020,16:30:00,78455.00,78610.00,78260.00,78465.00,5942279976.00,378845
WINJ20,13/04/2020,16:15:00,77860.00,78465.00,77710.00,78460.00,6631716195.00,424030
WINJ20,13/04/2020,16:00:00,78130.00,78165.00,77570.00,77860.00,6186572424.00,397745
WINJ20,13/04/2020,15:45:00,78045.00,78240.00,77925.00,78130.00,5014415146.00,321098
WINJ20,13/04/2020,15:30:00,78165.00,78475.00,77865.00,78045.00,6075519557.00,388538
WINJ20,13/04/2020,15:15:00,78165.00,78310.00,77970.00,78165.00,4961674796.00,317496
WINJ20,13/04/2020,15:00:00,78315.00,78585.00,78080.00,78165.00,6446033971.00,411392
WINJ20,13/04/2020,14:45:00,77840.00,78590.00,77785.00,78315.00,7427718824.00,475112
WINJ20,13/04/2020,14:30:00,77735.00,77845.00,77330.00,77845.00,5633988526.00,363062
WINJ20,13/04/2020,14:15:00,77575.00,77905.00,77420.00,77730.00,5218705924.00,336055
