Ativo,Data,Hora,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,27/03/2020,17:50:00,73320.00,73550.00,73095.00,73450.00,247124947.60,16844
WINJ20,27/03/2020,17:45:00,73355.00,73390.00,73030.00,73330.00,296451650.20,20247
WINJ20,27/03/2020,17:40:00,73265.00,73500.00,73015.00,73360.00,372074509.40,25398
WINJ20,27/03/2020,17:35:00,73410.00,73425.00,73180.00,73265.00,346048474.00,23604
WINJ20,27/03/2020,17:30:00,73145.00,73570.00,72950.00,73405.00,577987054.30,39407
WINJ20,27/03/2020,17:25:00,73155.00,73300.00,72895.00,73140.00,502219311.30,34333
WINJ20,27/03/2020,17:20:00,72925.00,73195.00,72790.00,73160.00,420471094.10,28786
WINJ20,27/03/2020,17:15:00,73340.00,73390.00,72650.00,72925.00,566558431.20,38822
WINJ20,27/03/2020,17:10:00,73385.00,73515.00,73060.00,73345.00,853118119.30,58188
WINJ20,27/03/2020,17:05:00,72945.00,73460.00,72830.00,73385.00,1298010106.00,88747
WINJ20,27/03/2020,17:00:00,72760.00,73155.00,72500.00,72950.00,1701023188.00,116678
WINJ20,27/03/2020,16:55:00,73690.00,73960.00,72670.00,72760.00,2396208014.00,163398
WINJ20,27/03/2020,16:50:00,74160.00,74170.00,73445.00,73685.00,2130383972.00,144237
WINJ20,27/03/2020,16:45:00,74400.00,74560.00,74090.00,74155.00,1515157563.00,101897
WINJ20,27/03/2020,16:40:00,74635.00,74780.00,74325.00,74405.00,1926288964.00,129307
WINJ20,27/03/2020,16:35:00,75445.00,75455.00,74630.00,74630.00,2157025220.00,143812
WINJ20,27/03/2020,16:30:00,75520.00,75645.00,75205.00,75450.00,1687736389.00,111907
WINJ20,27/03/2020,16:25:00,75390.00,75810.00,75340.00,75525.00,2110450799.00,139611
WINJ20,27/03/2020,16:20:00,75305.00,75400.00,75085.00,75390.00,1186698291.00,78853
WINJ20,27/03/2020,16:15:00,75090.00,75390.00,75055.00,75305.00,1197696095.00,79567
WINJ20,27/03/2020,16:10:00,75250.00,75440.00,75025.00,75095.00,1418756262.00,94253
WINJ20,27/03/2020,16:05:00,75160.00,75345.00,75030.00,75255.00,1586996191.00,105514
WINJ20,27/03/2020,16:00:00,74875.00,75185.00,74625.00,75155.00,1840412137.00,122821
WINJ20,27/03/2020,15:55:00,74675.00,74955.00,74620.00,74880.00,1274483198.00,85169
WINJ20,27/03/2020,15:50:00,74490.00,74765.00,74275.00,74680.00,1616423154.00,108410
WINJ20,27/03/2020,15:45:00,74555.00,74710.00,74400.00,74490.00,1291967573.00,86679
WINJ20,27/03/2020,15:40:00,74735.00,74865.00,74490.00,74555.00,1356073980.00,90811
WINJ20,27/03/2020,15:35:00,74810.00,75080.00,74650.00,74740.00,1425237329.00,95151
WINJ20,27/03/2020,15:30:00,74745.00,74880.00,74620.00,74810.00,967782637.90,64721
WINJ20,27/03/2020,15:25:00,74545.00,74925.00,74530.00,74745.00,1535051602.00,102708
WINJ20,27/03/2020,15:20:00,74660.00,74870.00,74450.00,74545.00,1620157209.00,108489
WINJ20,27/03/2020,15:15:00,74285.00,74745.00,74285.00,74660.00,1682060944.00,112878
